MDY,SubType,POINT_X,POINT_Y
7/27/1941,Mot_ID,32.58970822,54.91201963
7/29/1941,Mot_ID,32.55396847,54.89370436
7/30/1941,Mot_ID,32.58891347,54.90123797
8/2/1941,Mot_ID,32.5821582,54.89315848
8/4/1941,Mot_ID,32.62917578,54.96464053
8/6/1941,Mot_ID,32.52852471,54.91299156
8/10/1941,Mot_ID,32.30042064,54.86378249999999
8/12/1941,Mot_ID,32.30103119,54.87807761
8/14/1941,Mot_ID,32.28909243,54.84003756
8/18/1941,Mot_ID,32.26376,54.86194904
8/21/1941,Mot_ID,28.61253634,56.98580218
8/14/1941,Mot_ID,32.99476887,53.88778371
8/18/1941,Mot_ID,33.12701832,53.75965327
7/11/1941,Mot_ID,30.33384422,54.29901572
7/12/1941,Mot_ID,30.57445083,54.43405001
7/12/1941,Mot_ID,31.01687491,54.33270759
7/13/1941,Mot_ID,31.39713533,54.55060651
7/15/1941,Mot_ID,31.91744226,54.69540692
7/16/1941,Mot_ID,31.92913386,54.79856019
7/17/1941,Mot_ID,32.00688125,54.76855450000001
7/19/1941,Mot_ID,32.0316626,54.81436936
7/20/1941,Mot_ID,32.08147276,54.83735208
7/22/1941,Mot_ID,32.09938013,54.80251243
7/24/1941,Mot_ID,31.98225396,54.82615768
7/26/1941,Mot_ID,32.3306294,54.68992299
7/26/1941,Mot_ID,32.19151584,54.65632348
7/27/1941,Mot_ID,32.29067982,54.74458896
7/29/1941,Mot_ID,32.43057466,54.7254466
7/30/1941,Mot_ID,32.3357825,54.71750093
8/1/1941,Mot_ID,32.31735365,54.71362524
8/2/1941,Mot_ID,32.37698042,54.70932231
8/4/1941,Mot_ID,32.56276897,54.75187822
8/4/1941,Mot_ID,32.51802963,54.70729558
8/4/1941,Mot_ID,32.45258784,54.66844615
8/4/1941,Mot_ID,32.38753428,54.65996686
8/4/1941,Mot_ID,32.30289963,54.66684921
8/6/1941,Mot_ID,32.30907506,54.61700948
8/10/1941,Mot_ID,32.86521471,53.92156987
8/10/1941,Mot_ID,33.17246905,53.86287706
8/12/1941,Mot_ID,33.00257559,53.99758119
8/12/1941,Mot_ID,32.97380683,53.93460091
8/12/1941,Mot_ID,33.17451673,53.87868611
8/14/1941,Mot_ID,33.24138346,53.816199499999996
8/14/1941,Mot_ID,32.87885199,53.69984186
8/18/1941,Mot_ID,33.55517602,53.48345008
8/20/1941,Mot_ID,33.48240937,53.56024197
8/20/1941,Mot_ID,33.2368922,53.38424714
8/21/1941,Mot_ID,33.48834738,53.57023119
8/21/1941,Mot_ID,33.22545831,53.40408197
8/23/1941,Mot_ID,33.49638464,53.56650911
8/23/1941,Mot_ID,33.4066061,53.28243607
8/24/1941,Mot_ID,33.48506013,53.57362143
8/24/1941,Mot_ID,33.4001418,53.28530899
7/11/1941,Mot_Bde,29.83905652,54.95600354
7/15/1941,Mot_Bde,30.15779038,55.07150182
7/20/1941,Mot_Bde,31.62251351,55.41078878
7/22/1941,Mot_Bde,32.57143558,55.37900944
7/27/1941,Mot_Bde,32.84960164,55.35791597
7/30/1941,Mot_Bde,32.79917216,55.40203466
8/4/1941,Mot_Bde,32.77947209,55.28076038
8/6/1941,Mot_Bde,32.78198169,55.36763263
8/10/1941,Mot_Bde,32.64926499,55.27175229
8/12/1941,Mot_Bde,32.64938776,55.28657984
8/14/1941,Mot_Bde,32.6691522,55.26722318
8/21/1941,Mot_Bde,32.68149924,55.26409789
9/2/1941,Mot_Bde,32.36964334,55.2804135
9/4/1941,Mot_Bde,32.39651951,55.27605617
9/6/1941,Mot_Bde,32.33254243,55.29390487
9/8/1941,Mot_Bde,32.40421651,55.31027764
9/10/1941,Mot_Bde,32.40751351,55.19242943
7/22/1941,Mot_ID,29.91640136,53.98602183
7/20/1941,Mot_Rgt,31.81318931,54.06658497
7/12/1941,Mot_Rgt,30.55334594,54.18466199
7/13/1941,Mot_Rgt,30.54964301,54.1033583
7/15/1941,Mot_Rgt,30.47876132,54.10774032
7/16/1941,Mot_Rgt,30.48202054,54.09968337
7/17/1941,Mot_Rgt,30.48037493,54.09300152
7/19/1941,Mot_Rgt,31.43103647,53.97075975
7/22/1941,Mot_Rgt,32.5905657,54.20100134
7/24/1941,Mot_Rgt,32.57997172,54.25424491
7/26/1941,Mot_Rgt,32.65496123,54.22229998
7/27/1941,Mot_Rgt,32.78051616,54.42772586
7/29/1941,Mot_Rgt,33.08667388,54.5640575
7/30/1941,Mot_Rgt,33.08790307,54.56287911
8/1/1941,Mot_Rgt,33.158116899999996,54.6756174
8/2/1941,Mot_Rgt,33.1311922,54.65343588
